FrameTime,GPUTime,GameThreadTime,GPU/LumenReflections,GPU/LumenScreenProbeGather,GPU/ShadowDepths,GPU/TemporalSuperResolution,GPUMem/LocalUsedMB,GPUMem/LocalBudgetMB
27.9131,24.5565,4.7222,2.2108,0.011300,1.1331,3.6208,3681.5469,5153
25.9185,24.6001,6.5442,2.3902,0.013200,1.0827,3.7028,3681.5469,5153
25.3031,24.8830,8.9845,2.5099,0.010200,1.3831,3.8123,3681.5469,5153
26.0482,24.7101,5.9748,2.5990,0.009700,1.1230,3.6803,3681.5469,5153
24.1539,24.3489,8.4102,2.3062,0.012700,1.1344,3.6106,3681.5469,5153
26.7136,25.4432,7.1753,2.2528,0.011700,1.0344,3.7264,3681.5469,5153
26.0599,26.2344,6.5504,2.2857,0.014400,0.9523,3.6445,3681.5469,5153
27.7431,25.6016,7.6166,2.4524,0.009900,1.2745,3.6168,3681.5469,5153
28.1631,24.9967,7.2855,2.2179,0.014400,1.0031,3.8122,3681.5469,5153
23.3576,25.7907,6.0274,2.4956,0.010300,1.1535,3.7344,3681.6719,5153
25.6611,24.3812,4.9761,2.0787,0.009800,1.1690,3.5912,3681.6719,5153
25.0922,24.0888,6.9456,2.5119,0.010200,1.3345,3.6270,3681.6719,5153
26.1073,25.8525,5.0116,2.3051,0.016500,0.9612,3.9212,3681.6719,5153
27.7148,25.6812,6.2107,2.2333,0.013600,1.0714,3.6832,3681.6719,5153
39.2265,25.1656,6.7604,2.4094,0.009700,1.0480,3.7038,3681.6719,5153
13.6102,25.7899,27.7398,2.1472,0.014600,0.9663,3.7621,0,0
31.3989,24.5938,6.5966,2.2875,0.010800,1.4050,3.6997,3681.6719,5153
18.7503,24.3322,20.7709,2.0786,0.012700,0.9421,3.7187,3681.6719,5153
25.8881,24.5189,6.7265,2.3512,0.014800,0.9949,3.6362,3681.6719,5153
26.9242,24.8461,6.7113,2.2927,0.011600,1.2458,3.7519,3681.6719,5153
22.5289,24.5126,6.3119,2.5324,0.010300,1.0386,3.8236,3681.6719,5153
28.2979,24.6909,7.5228,2.3009,0.010100,0.9393,3.5911,3681.6719,5153
26.1288,24.6065,7.2065,2.2435,0.009300,1.0879,3.6188,3681.6719,5153
26.8925,24.5944,5.8526,2.3785,0.009800,1.0737,3.6843,3681.6719,5153
28.5552,25.0170,7.8637,2.4279,0.010600,1.0087,3.7295,3681.6719,5153
21.6999,23.9348,6.7619,2.3696,0.009800,1.3118,3.7120,3681.6719,5153
26.4630,23.9820,6.3731,2.5284,0.010000,1.2665,3.8665,3681.6719,5153
23.3562,25.2720,6.5726,2.2835,0.010700,1.1802,3.7058,3681.6719,5153
30.2636,25.5904,7.6761,2.3818,0.010300,1.0485,3.7129,3681.6719,5153
24.5680,25.1607,7.1593,2.4352,0.010100,1.3037,3.8327,3681.6719,5153
30.3346,26.0777,5.9829,2.5262,0.010900,1.4529,3.7498,3681.6719,5153
21.1850,26.0030,7.3270,2.3758,0.010700,1.1268,3.7181,3681.6719,5153
26.1860,25.8135,7.7352,2.4504,0.011200,1.0480,3.7530,3681.6719,5153
28.9874,25.8695,7.7457,2.1780,0.010000,1.1957,3.6587,3681.6719,5153
29.5577,26.2464,9.9433,2.3010,0.010600,0.9570,3.6332,3681.6719,5153
22.9612,25.4416,8.4859,2.3070,0.009900,0.9374,3.7971,3681.6719,5153
29.5569,25.7859,9.2422,2.5181,0.015300,1.0811,3.7405,3681.6719,5153
22.4063,24.9344,11.3906,2.6123,0.011000,1.1142,3.7059,3681.6719,5153
24.9260,24.7871,8.9004,2.2785,0.009900,1.0504,3.6158,3681.6719,5153
28.8157,24.9687,7.8402,2.4106,0.011800,1.0123,3.8011,3681.6719,5153
26.4420,25.6327,9.0848,2.5047,0.010300,1.0187,3.7049,3681.6719,5153
25.1599,25.2291,9.0898,2.4054,0.009900,1.2784,3.6158,3681.6719,5153
26.3157,25.2317,10.6520,2.2355,0.010300,1.1932,3.7293,3681.6719,5153
25.8651,26.0701,8.4861,2.1403,0.010500,0.9767,3.5491,3681.6719,5153
26.0440,25.2373,9.8687,1.8924,0.013300,1.0371,3.7669,3681.6719,5153
27.6607,25.4698,6.3945,2.4975,0.010800,1.0455,3.7489,3681.6719,5153
26.0943,25.3448,7.5750,2.3100,0.011800,0.9742,3.8276,3681.6719,5153
27.9383,24.2292,9.4243,1.9866,0.010700,1.2842,3.7179,3681.6719,5153
27.1301,23.8521,26.2961,2.6133,0.010300,1.0059,3.6670,3681.6719,5153
19.8529,24.3994,28.5229,2.4104,0.009500,0.9917,3.6445,3681.6719,5153
27.9069,24.4229,10.5475,2.1075,0.009800,1.2286,3.6679,3681.6719,5153
23.1574,24.4263,7.1112,2.3653,0.009800,1.0179,3.6680,3681.6719,5153
26.4521,25.5048,8.9035,2.3561,0.012100,1.0572,3.6199,3681.6719,5153
27.9568,24.9868,9.0047,2.3675,0.014500,0.9837,3.7367,3681.6719,5153
22.4567,24.7646,5.9665,2.3531,0.010700,0.9558,3.7079,3681.6719,5153
29.9179,25.2677,10.0586,2.5384,0.010800,1.2820,3.7479,3681.6719,5153
23.5053,24.1029,7.1023,2.3828,0.010900,1.3135,3.6801,3681.6719,5153
25.4662,24.0090,9.8586,2.1423,0.010300,1.0712,3.6689,3681.6719,5153
40.0597,25.7629,8.0867,2.4104,0.015000,0.9625,3.6680,3681.6719,5153
30.0293,25.2921,47.1356,2.4432,0.010600,1.2502,3.6792,3681.6719,5153
13.3872,25.2921,5.6607,2.4984,0.010700,1.2350,3.6771,0,0
20.6995,25.0090,7.9660,2.5937,0.009800,1.0421,3.8409,3681.6719,5153
24.0445,25.2659,8.8191,2.2999,0.010100,0.9203,3.6413,3681.6719,5153
28.7089,25.2376,7.5614,2.4432,0.010700,1.1274,3.6188,3681.6719,5153
24.3397,25.0988,6.4203,2.3214,0.010200,1.1563,3.8185,3681.6719,5153
29.3121,25.9645,7.6432,2.4699,0.009900,1.1907,3.6681,3681.6719,5153
48.7344,24.9227,9.3019,2.5384,0.010400,1.0763,3.4468,3681.6719,5153
32.8043,25.6657,59.7356,2.6244,0.010100,1.2086,3.5245,3681.6719,5153
15.6502,25.6352,7.7668,2.6581,0.011200,1.2747,3.6474,0,0
18.7644,25.6352,7.4673,2.6827,0.013700,1.0607,3.8308,3681.6719,5153
